172.23.72.14;2023-10-24 11:36:27.408255;Erro;Erro;
172.23.72.14;2023-10-24 11:37:02.227921;Erro;Erro;
172.23.72.14;2023-10-24 11:37:37.040186;Erro;Erro;
172.23.72.14;2023-10-24 11:38:11.856253;Erro;Erro;
172.23.72.14;2023-10-24 11:38:46.672261;Erro;Erro;
172.23.72.14;2023-10-24 11:39:19.440247;Erro;Erro;
172.23.72.14;2023-10-24 11:39:52.208322;Erro;Erro;
172.23.72.14;2023-10-24 11:40:27.024130;Erro;Erro;
172.23.72.14;2023-10-24 11:41:01.842086;Erro;Erro;
172.23.72.14;2023-10-24 11:41:36.656072;Erro;Erro;
172.23.72.14;2023-10-24 11:42:11.472210;Erro;Erro;
172.23.72.14;2023-10-24 11:42:44.240046;Erro;Erro;
172.23.72.14;2023-10-24 11:43:19.056164;Erro;Erro;
172.23.72.14;2023-10-24 11:43:53.872053;Erro;Erro;
172.23.72.14;2023-10-24 11:44:26.640206;Erro;Erro;
172.23.72.14;2023-10-24 11:45:01.456183;Erro;Erro;
172.23.72.14;2023-10-24 11:45:38.320278;Erro;Erro;
172.23.72.14;2023-10-24 11:46:11.088083;Erro;Erro;
172.23.72.14;2023-10-24 11:46:45.904240;Erro;Erro;
172.23.72.14;2023-10-24 11:47:18.672226;Erro;Erro;
172.23.72.14;2023-10-24 11:47:53.491882;Erro;Erro;
172.23.72.14;2023-10-24 11:48:26.256061;Erro;Erro;
172.23.72.14;2023-10-24 11:49:01.072172;Erro;Erro;
172.23.72.14;2023-10-24 11:49:39.984214;Erro;Erro;
172.23.72.14;2023-10-24 11:50:12.752267;Erro;Erro;
172.23.72.14;2023-10-24 11:50:45.520191;Erro;Erro;
172.23.72.14;2023-10-24 11:51:20.347931;Erro;Erro;
172.23.72.14;2023-10-24 11:51:53.103905;Erro;Erro;
172.23.72.14;2023-10-24 11:52:27.920538;Erro;Erro;
172.23.72.14;2023-10-24 11:53:00.688182;Erro;Erro;
172.23.72.14;2023-10-24 11:53:37.552331;Erro;Erro;
172.23.72.14;2023-10-24 11:54:10.320265;Erro;Erro;
172.23.72.14;2023-10-24 11:54:45.136251;Erro;Erro;
172.23.72.14;2023-10-24 11:55:17.904087;Erro;Erro;
172.23.72.14;2023-10-24 11:55:52.731899;Erro;Erro;
172.23.72.14;2023-10-24 11:56:25.487878;Erro;Erro;
172.23.72.14;2023-10-24 11:57:00.304303;Erro;Erro;
172.23.72.14;2023-10-24 11:57:33.079250;Erro;Erro;
172.23.72.14;2023-10-24 11:58:09.936203;Erro;Erro;
172.23.72.14;2023-10-24 11:58:44.752193;Erro;Erro;
172.23.72.14;2023-10-24 11:59:17.520226;Erro;Erro;
172.23.72.14;2023-10-24 11:59:52.339934;Erro;Erro;
172.23.72.14;2023-10-24 12:00:25.103969;Erro;Erro;
172.23.72.14;2023-10-24 12:00:59.928191;Erro;Erro;
